id,product_id,user_name,rate_stars,review_title,review_date,comment_content,sentiment,label_issue
131,B0924YY8HC,AnewBuy,3,Very disappointed in freshness!,9/10/22,"My original package came from the breeder when we picked up our new puppy and was very most, easy to break into smaller pieces. So, I purchased three packages from here. I have now opened my second package only to find that, unlike my first package, these packages are very dry and crumbly. The expiration date shows 10/29/23, so I would not expect such a contrast in quality. Unfortunately, I do not know what the date was on the original package, So I guess in the future I will purchase from the local pet store so that I can check the date before purchase.",Negative,Product Quality Issue
134,B0924YY8HC,THEODORE HOULIS,1,This bag was a bad batch of treats. They were stale,8/13/22,"This particular bag of treat was spoiled and does rate a one star.  Fortunately, my dog would not take the treat. I have bought this same product several times before.  And my dog loved it.  I will return the bad bag of N-BONE puppy training treats. I do not want a refund.",Negative,Purchase and Return Policy
150,B0924YY8HC,AnewBuy,3,Very disappointed in freshness!,9/10/22,"My original package came from the breeder when we picked up our new puppy and was very most, easy to break into smaller pieces. So, I purchased three packages from here. I have now opened my second package only to find that, unlike my first package, these packages are very dry and crumbly. The expiration date shows 10/29/23, so I would not expect such a contrast in quality. Unfortunately, I do not know what the date was on the original package, So I guess in the future I will purchase from the local pet store so that I can check the date before purchase.",Negative,Product Quality Issue
153,B0924YY8HC,THEODORE HOULIS,1,This bag was a bad batch of treats. They were stale,8/13/22,"This particular bag of treat was spoiled and does rate a one star.  Fortunately, my dog would not take the treat. I have bought this same product several times before.  And my dog loved it.  I will return the bad bag of N-BONE puppy training treats. I do not want a refund.",Negative,Purchase and Return Policy
157,B00X1A2ESC,kg,1,Costs three times as much as a 3-pack of same item.,3/31/20,"I should have paid more attention to the description, but the price for this SINGLE PACK is about the same of the THREE PACKS, so with my quick glance, I thought it was a multi-pack. It was not. I paid the same price of a 3-pack for a single, little teething ring that was eaten in 10 minutes.",Negative,Value for Money
167,B00X1A2ESC,M,1,Received a broken opened item...,10/8/21,"The Puppy Teething Ring was broken on arrival even though there was sufficient packing material. In addition, the package was opened and taped shut. This is not acceptable.",Negative,Packaging
172,B00X1A2ESC,Joel Righter,3,"Easy come, easy go. Quickly disappears.",10/27/17,"Puppy liked them, but at 8 weeks they were gone quick. These could get costly and personally, I'll stick with the many alternatives out there. All the products in this line have been too soft and easy to consume for my tiny pup.",Negative,Value for Money
178,B00X1A2ESC,Marianne,5,Long lasting for my puppy,4/17/20,My puppy(aussie shepherd) has been chewing on it for 2 weeks now. And its not about to be over...maybe its too hard for a 8 weeks old puppy or its just not tasty enough..??,Negative,Health Issues
190,B00X1A2ESC,ALYSSA P.,1,My puppy could have died,5/7/20,This thing lasted less than an hour and then became a soft choking hazard that got stuck in her teeth with the piece attached going down her throat. I bought two and they cannot be returned. Be careful with this one.,Negative,Safety Concerns
201,B00X1A2ESC,Don Moore,5,dog loves it,3/14/19,just don't last long,Negative,Product Quality Issue
203,B00X1A2ESC,Hayley B,1,dog wasn't interested,7/27/20,My puppy wasn't interested and ignored it,Negative,Palatability
204,B00X1A2ESC,Sheila K,1,Did not like this for my puppy,11/18/18,My 8 week old puppy chewed through this in minutes. I had to take it from her because I was scared she would get a curved piece in her throat,Negative,Safety Concerns
211,B00X1A2ESC,Amazon Customer,1,One Star,3/6/18,Lasted like 10 minutes :(,Negative,Value for Money
216,B09FQ9VZNP,se,1,Dry and crumbly,7/20/23,Just received my order and the treats inside are dry and crumbly. Bottom of the bag just has treats that have become powdered. Not sure if this is how the product is supposed to be or not or if this is just old treats. The best by date is September 23 but it doesn’t say when it was manufactured. I feel like I’m being sent old almost expired products so they can clear inventory. I would think companies would want to send out the best product so that customers will keep coming to buy. This kind of product being sent creates a 1 time purchase and never again. I’m additionally both cats just looked at it and walked away. Mind you these cats when they see a treat they never say no. So disappointed. I wish I was sent new fresh product. Disappointed,Negative,Product Quality Issue
219,B09FQ9VZNP,Aesop,2,Be aware.....These have Changed,10/18/22,I had subscribed to this product. My cats loved them. This last order came and the treats look different. They have a powdery cast to them and my cats won't touch them.  I tried to return them within the proper time and have received the message that they are not returnable.,Negative,Product Quality Issue
221,B09FQ9VZNP,G0disloveJCdied4u,4,"Crumbly, but enjoyable - to my cats, at least.",6/4/23,"2/3 of my cats liked these treats, but they arrived all crumbly -- about a quarter of the bag was in crumbs. :/",Negative,Product Quality Issue
222,B09FQ9VZNP,Cheri Ann Tipler,4,I don’t know,3/18/23,Seriously do they expect us to taste this stuff for the questions? My cats seem to be OK with it. I’m not sure about it. I may have to get a new product.,Negative,Palatability
224,B09FQ9VZNP,Linda A.,5,Caution received on March 15th 2023 Best Buy date was May 8th 2023,3/22/23,My cat really love the flavor but when I received it it best by date was less than 2 months,Negative,Value for Money
225,B09FQ9VZNP,Sam v,3,My not picky cat says no,6/23/22,Some reason my cats won’t touch them.  So was a am waste of time and smells terrible.,Negative,Palatability
232,B09FQ9VZNP,Anonymous Reader,2,Cats wouldn’t touch it,9/27/22,Cats wouldn’t touch these and it gave one of them the runs.  Uggh!,Negative,Health Issues
233,B09FQ9VZNP,QC,1,Crumbly,4/29/23,The cat treats came with alot of crumbles in the pouch and again only one cat ate them and from all the treats given one kind at a time I don't know which one caused the diarrhea I won't return but won't buy again,Negative,Health Issues
235,B09FQ9VZNP,Liz Marsh,1,"Powder, not treats",6/12/23,"This product was clearly crushed at some point, and arrived as a powder not as treats.  Not refundable or replaceable for some reason, so buyer beware...",Negative,Purchase and Return Policy
236,B09FQ9VZNP,Sam,2,They are picky,1/24/22,Unfortunately my furballs did care for this treat,Negative,Palatability
237,B09FQ9VZNP,Ab,1,My cats did not like these,2/26/23,"These snacks looked fine to me and I thought my cats would like them, but they sniffed at them and refused to eat them.",Negative,Palatability
238,B09FQ9VZNP,Denny,1,Crushed,5/21/23,When I opened the bag 1/2 the treats were crushed.,Negative,Product Quality Issue
240,B09FQ9VZNP,Kathi S.,1,Didn’t go over well,1/8/23,George turned his nose up at it,Negative,Palatability
241,B09FQ9VZNP,Marcia Ellis,1,Cats won’t eat them,6/23/22,I have two feral cats that I was trying to calm down they would not eat this product,Negative,Palatability
243,B09FQ9VZNP,ChiefB & SweetieBoo,3,My Cat Thumbs His Nose At This,11/28/21,"Every cat is an individual, and they know what they like and what they don't. Although many cats seem to love these Biteables, my senior cat would have nothing to do with it. I tried a single treat whole, then broken in half, and he just sniffed it and walked away each time. The next morning I even broke one in half and hid it in the middle of his wet cat food, which he normally inhales the minute I put it in his bowl. He ate around the treat halves and left them in his otherwise empty bowl. He loves chicken, which is the primary ingredient in these treats, but apparently that wasn't enough to entice him. In people years my cat is 88 years old, so it's not like he's going to change his food preferences at this stage of his life. The ""chicken and tuna recipe"" on the package is a bit misleading, since the tuna is only ""natural tuna flavor"" and not the real deal, and the same with the ""natural fish flavor."" I am still rating this product 3 stars even though my cat didn't like it because I think the L-lysine, taurine, and probiotics probably would have been good for him if he had been willing to eat these treats.",Negative,Palatability
244,B09FQ9VZNP,Cathy,3,Soft treats for your cst,10/24/21,So I was really hoping our cats would love these soft treats so I could feel good about giving treats that had some health value to them. Unfortunately only 1 of our 3 cats would remotely touch them and it was only once.  I’m sure it’s just that our cats are picky about their food and treats.  They seems to be good quality with good packaging. Our cats just prefer the junky treats to the healthy ones. Go figure.,Negative,Palatability
245,B09FQ9VZNP,Joe Smart,2,Both of my cats hate the flavor,10/30/21,"Different cats have different tastes so normally I wouldn't give a product two stars just because my cats didn't like the flavor but I really think it's warranted and possibly even generous in the case of Get Naked Essential Health Biteables because both of my cats really love treats but they absolutely hate these.The package boasts that Get Naked Biteables provide essential health benefits including lysine and probiotics and that the #1 ingredient is real chicken--although that last one doesn't actually mean anything because they could be saying that the highest quality or most expensive ingredient is chicken, not necessarily that chicken makes up the largest actual portion.  In any case, these are not cat food--they are cat treats.  With cat food, strong health benefits are definitely something you want to look for but with treats the number one most important thing is flavor.  Cats should be thrilled when you pull out the package and they see that you are about to give them a treat.I have two cats.  They both love treats.  They both ate exactly one of these Get Naked Bitables treats and will not touch them again.  They absolutely hate the flavor which means these aren't much of a treat as far as my cats are concerned.  Get Naked Biteables might well be very nutritious but they neglected the single most important thing that every cat treat needs which is great taste.",Negative,Palatability
248,B09FQ9VZNP,nlb,3,Would like better instruction,7/13/22,Kitties getting diarrhea from a couple of trts,Negative,Health Issues
254,B09FQ9VZNP,optimummind,2,My kitty won't eat them.,10/23/21,"I got these for my 13-yo Doll Face Persian and he doesn't like it. At first, he tried a couple because I guess the treats smelled good and he was willing to test them out. From the second time and onward, he just ignores the treats.2 stars.",Negative,Palatability
256,B09FQ9VZNP,BaliDreamer,3,Great Ingredients and Price!!!,11/4/21,"Two out of two cats don't like it, including my Fat Cat that will normally eat anything you give him and my prissy spoiled cat that is always finicky but a sweet fur ball of pure love!!!  Too bad they won't eat it, the ingredients are great and it would be good for them, but they just turn up their nose and walk away from it every time I try!!  Thank you!!!",Negative,Palatability
266,B08PQ7VYSV,Avid Amazon Customer,5,Any puppy will love these if you can find a good price,12/16/23,"Of course, any puppy will be delighted to chew away on these, but it's best to wait for a promotion because they don't last as long as one might have hoped, and they cost a pretty penny for each one dispensed.",Negative,Value for Money
270,B08PQ7VYSV,Chris,4,My puppies absolutely loved these,5/15/23,My puppies loved these while teething. But they are pricey and I think it was hard on their stomach.,Negative,Health Issues
272,B08PQ7VYSV,Scarlett Estelle,5,My pup loves these!,10/16/22,"Great for teething puppy, but a tad pricey for only 5 to the bag",Negative,Value for Money
275,B08PQ7VYSV,Linda M,3,Puppy did not like them,10/15/23,I am not sure why he did not like these,Negative,Palatability
276,B08PQ7VYSV,Aujalee Moore,2,Very small,1/12/24,Smaller than advertised when they arrived,Negative,Product Quality Issue
277,B08PQ7VYSV,Geo,3,Choking hazard ? Please watch your pet,1/24/23,Second time my 48 lb & 4.5 month old lab somewhat chokes on these. The piece gets stuck or something and he gags to try to get it in or throw it out. Unfortunately I won’t be buying these anymore. They were so good too,Negative,Safety Concerns
278,B08PQ7VYSV,Kat,2,"These are great treats, but for teething the lasted less than a minute.",10/21/23,"These are great treats, but for teething the lasted less than a minute.",Negative,Health Issues
281,B08PQ7VYSV,Amazon Customer,3,Good Teething Ring for Smaller Dogs,9/8/21,Way too easy and quick to chew for a german shepherd mix puppy at 3 months of age.  It only took him 10 minutes to finish.,Negative,Product Quality Issue
282,B08PQ7VYSV,CR,1,Shocking hazard,9/4/23,"I prefer to not give this to my puppy. Thank God he was supervised, he almost shocked. Please be careful, it was a scary experience.",Negative,Safety Concerns
285,B08PQ7VYSV,Trusting Consumer,1,Says for puppies but too big for my puppy,12/5/21,Wanted my puppy to have biting options but size was too difficult for her. She is a 5 poundMorkie,Negative,Product Quality Issue
286,B08PQ7VYSV,rhonda williams,1,Eew,7/20/21,"Disgusting!! These rings absolutely reek, so I'm giving them to my older pup to get rid of them!!",Negative,Palatability
287,B08PQ7VYSV,Anderson789,1,Choking Hazard,1/12/24,"Always have to toss them after my 7lb puppy (mini golden doodle) breaks the ring after a few mins after chewing. Then she breaks off pieces. The pieces are hard and can cause choking. Beware and at the very least, don’t leave your dog alone with these.",Negative,Safety Concerns
288,B08PQ7VYSV,Diane B,1,Please read,4/18/23,Warning ⚠️ My 5 month old Golden Retriever is 45 lbs & a really strong chewer. These rings have a great flavor he liked. Please don’t ever leave your young pup or adult dog unsupervised because big pieces break off or just don’t give because the pup cannot chew them. I had to stop them all together because even when supervised there’s a risk of choking. I have tried calling the company but no response.,Negative,Safety Concerns
289,B08PQ7VYSV,Mal,1,My dog and Neibors won’t even touch them,11/28/22,I do not recommend these at all. My puppy refuses to even grab it with his mouth. My Neibors dog who loves chewing bones and rings won’t touch it and won’t even put in his mouth to move out of the way. They smell terrible and are very hard (my puppy couldn’t even chew if he wanted to),Negative,Health Issues
295,B007RW7CJQ,Paul Mays,4,Worked Fine,1/12/24,Little pricy for just the two.  Not for senior dog.,Negative,Value for Money
304,B007RW7CJQ,Jason Howell,3,Small,10/25/23,It’s way smaller than it looked. I hope it holds up to my 30 lb dog.,Negative,Product Quality Issue
310,B007RW7CJQ,Michelle,3,Caution; Throw Out When It Gets Hard!,4/14/21,"So, I've been getting these for my dog a while now. She normally scarfs them down over the course of an hour, but the latest time, she decided she wanted to keep one end of it to put in her little treat stash. About a week later, she grabbed it, we played fetch with it (it was hard like rock now) and she ate it; I thought nothing of it because it still chewed apart. Later that day, about 12 hours, she threw up a large amount pieces that weren't digesting. Even though they weren't splintering, the pieces were just sitting in her stomach like a bunch of rocks. They were getting smoother and I'm sure still digesting, but they were also causing obvious pain to her and she was unable to eat anything else while they were still clanking around in her stomach.I'd still absolutely recommend these to dog owners, but with much more caution and awareness. Once the texture isn't the soft-ish bendable feel it was out of the bag, its time to toss it. I got lucky she threw them up, and that none of the harder bits did splinter, but its important to be aware of things like intestinal blockages or damage that can occur from treats that appear fine.",Negative,Health Issues
312,B007RW7CJQ,MJO in NC,2,Disappointed,9/19/23,"Well, I had high hopes for this.  Read the reviews. Thought it might be just what I was looking for. It lasted maybe 15 minutes before it was slimy, stinky and then he snapped it and it broke right in half. Leaving a super sharp broken end. Hoping he didn't swallow the other side because we couldn't find it anywhere. He was not unsupervised. Now concerned even though it says digestible, that the sharp end could be dangerous.  I wouldn't recommend just for the possible choking and danger potential",Negative,Safety Concerns
318,B007RW7CJQ,Alicia McGilloway,3,These are really small,5/22/23,Didn't realize how small these would be. I figured it would take my dog awhile to eat but she ate it really quickly. Next time I'll get the bigger ones.,Negative,Product Quality Issue
320,B007RW7CJQ,Edward Lee Robinson Jr,3,Tiny,6/4/23,The bone was very small.,Negative,Product Quality Issue
329,B007RW7CJQ,bonana,3,he buries them,6/21/16,"sigh, buries these too.  had a feeling he would.package super-tough and impossible to open w/o scissors.  to give him some fun out of it, I gave it to him in unopened package. he likes to unpackage stuff himself better than to have it just handed to him but usully wont let him.after 4 days he still hadn't gotten it open so I cut it open and offered bone, which he immediately buried.is a mystery to me why he doesn't take more interest in this type of offering.  buries every one of the 50 diff types of chews I've tried so cant blame product.is a 4yr old new adoptee, sweet but untrained shelter resident that loves to chew.  on me, cardboard, brittle plastic, rubber doorstops(swallows rubber, dangerous), anything he isn't supposed to.  if I could just find him something legit he likes to chew before I go broke on this search. maybe a bit softer with an irresistible flavor?comments/suggestions welcome",Negative,Value for Money
330,B007RW7CJQ,Floyd the Barbarian,3,German Shepherd likes but not long lasting,12/10/22,Our GS likes these but devours one in 5 minutes. Not the long lasting teething treat we were looking for,Negative,Health Issues
331,B007RW7CJQ,Scott,2,Lasted 1 hour & upset stomach,2/24/23,"Wouldn’t recommend. We like N-Bones products, the teething rings have been amazing for our puppy but I got this and our 12lb dog finished the whole thing in maybe an hour. When I took it out of the packaging it was already like melting/crumbing off on my hands. Also caused some gastrointestinal distress, but that’s not surprising considering it is pretty big and she ate the whole thing in one sitting lol.",Negative,Health Issues
340,B007RW7CJQ,Linda Sardin,2,Lasted a hour and has been sick for 2 days,4/2/23,We have been feeding the puppy rings for months so we decided to try this bone. She ate it quick and has been sick since. Hopefully she is better tomorrow or vet bills will make this a very big mistake.,Negative,Health Issues
342,B007RW7CJQ,SHANTINIKETAN,1,Not worthy,11/13/23,"We expected the big size, in pictures it was showing big, but my 4 months old dog finished the bone in 20 minutes. It’s a waste of money.",Negative,Value for Money
345,B007RW7CJQ,trish,5,I need to return,10/7/22,These are for small dogs I need to return my dogs weigh 200 lbs,Negative,Purchase and Return Policy
346,B007RW7CJQ,Milford,5,Dog likes it!,6/22/22,"My dog likes these a lot, but they do not last very long and she is not an aggressive chewer.",Negative,Value for Money
349,B007RW7CJQ,Roxane,5,My dog loves them,4/16/19,"I worry about the different chew bones because some have plastic in them and other bad things that I wouldn't want to eat myself. Not mention the health risk from Ingesting them. These are made of quality ingredients and my dog loves them. I would never give my dog Rawhide, Nylabone, Hartz, or Greenies. Have heard horror stories from vets as well as responsible pet owners about the products I just mentioned. Please do your research before giving anything to your beloved pet.",Negative,Health Issues
351,B007RW7CJQ,Amazon Customer,2,Ingredients differ between flavors,11/16/22,I bought this to occupy my 6 month old doberman at least long enough for me to drive out of our driveway and close the gate. The large one lasts him about 30 minutes. I only like the ingredients in the bacon flavor. Other flavors have soy and corn which I try to avoid feeding my dog. I may return this one.,Negative,Value for Money
355,B007RW7CJQ,No name,3,Super small,9/4/22,These are super small I was worried my 35lb dog would choke on them,Negative,Safety Concerns
357,B007RW7CJQ,eric kravchick,2,It only lasted 20 minutes,5/9/23,"Was hoping to be a long lasting chew toy, but he ate it all in 20 minutes",Negative,Product Quality Issue
359,B007RW7CJQ,N. D.,1,My dog stinks!,9/15/23,"Gave this to my dog last night and she is farting so putrid that she's attempting to hide in her kennel from it. Whenever I try to escape the room, she follows and so does her smell.Putting this as a reminder to never purchase again, poor thing.. poor me..",Negative,Health Issues
364,B007RW7CJQ,Deanna Matheney,1,Bad bones,8/30/23,These bones are awful!  The first bones I got were nice and soft and my dogs loved them so I ordered more.  These bones are as hard as bricks!  I’ll never order them again!  I would like a refund!,Negative,Product Quality Issue
370,B007RW7CJQ,Bono girl,1,Made my dog throw up - twice,4/20/23,"At first I thought my dog might just have eaten something she shouldn’t have either in the yard or during our walk. But that evening, after having devoured this doggie treat in about 10 minutes earlier that afternoon (it doesn’t last), that night my dog got violently ill. I didn’t even think it might be the treat that was the culprit until I gave her another one a few weeks later, and the same thing happened - a few hours after eating it, she got very sick. Not buying again!",Negative,Health Issues
374,B007RW7CJQ,Crystal,1,My dog doesn’t eat just peanuts,8/29/23,This is a peanut flavor not peanut butter so my dog smelled it and walked away. Waste of 💰for me. I’ve learned I can’t buy treats online unless I know it’s something she will eat,Negative,Palatability
379,B007RW7CJQ,Chris Termini,3,gone in a flash,1/4/22,our mid sized 14 months old dog devoured this bone in 20 minutes or less.,Negative,Palatability
381,B007RW7CJQ,Jayden,5,"Good as a treat, but not a chew",5/28/19,"I got this for my small dog who is a power chewer. He was able to get chunks of it off, but he did have to work for it. I gave it as a treat more than a chew. Once he had gotten a good amount broken off, I would take it away",Negative,Product Quality Issue
386,B007RW7CJQ,J Thomas,1,Waste of money,5/6/23,"My dog, 20 pound mix breed, starting biting off pieces as soon as I gave it to her.  I was looking for a long lasting treat.  This is not it!  I took it away from her after ten minutes because she was eating it.  It's plastic and is not meant to be digested.If you have a small puppy this might be ok.  Would definitely NOT buy again.",Negative,Health Issues
390,B007RW7CJQ,KB,1,These are ridiculously small and a choke hazard for any size dog,6/7/23,"I almost laughed when I opened the package. These are so ridiculously small and I wouldn’t give to ANY size dog as a major choke hazard and now I’m stuck, not able to return (or even exchange for bigger size!) them, even though I am a dedicated amazon prime customer. Come on seller/Amazon, so dangerous!",Negative,Safety Concerns
396,B0175BN7B0,p dean addison,4,Dog loves them!!!,10/23/17,Scarfs them right up... slightly expensive though,Negative,Value for Money
401,B0175BN7B0,sara,3,Prongs can easily snap off causing choking hazard,1/25/22,Ours fell apart and my dog started to choke on it-it’s like a giant jacks and it can easily be taken apart. I have a Lhasa and a Shih Tzu who are 20lbs/11lbs and not big chewers. My Lhasa barely touched his and one of the prongs came off and we couldn’t get it out of his mouth when he started to choke on the knub he had reduced the broken prong to. Thankfully my teen son was home and between the two of us we got it out of his throat. Really scary stuff. They’re not hard like a yak stick-more of a softer medium and the prongs can easily be snapped. Something to think about if you plan to leave your dog unsupervised or they’re hard to get a treat back from.,Negative,Safety Concerns
402,B0175BN7B0,Firstsnow,2,Ridiculous - $11???,8/3/22,I bought the ginourmous size for years of these bones and mistakenly thought this was the same size. The medium is tiny - for a petite breed only. Never again! Definitely not worth the cost this seller is charging.,Negative,Value for Money
404,B0175BN7B0,Allison I,2,Super small!,2/4/22,"I thought it would be bigger, but when it arrived my German Shepard ate it in about ten minutes",Negative,Product Quality Issue
406,B0175BN7B0,katherine,1,Lasted about 6 minutes!,2/8/22,What a gimmick!  Treats like these are WORTHLESS if a dog can't chew on them for more than 6 minutes!  The value to a dog is to satisfy their chew instinct.  Waste of money!,Negative,Value for Money
409,B0175BN7B0,Jessica Sitaras,2,Dog love but lasted 2 minutes,12/3/23,I have a lab mix and he inhaled in minutes. This treat seemed like it should have lasted a lot longer.,Negative,Product Quality Issue
410,B0175BN7B0,Amazoner,1,Read before purchasing,12/28/23,"Be very careful with this product for small dogs. It cause my 18 lb dog diarrhea and vomiting 6 hrs after chewing it. The diarrhea and vomiting continued through the night, and proceeded to bloody vomiting. My dog was able to recover 24 hours later but this is a serious issue people should be aware of.",Negative,Health Issues
412,B0175BN7B0,Alyson,3,Won’t last long,5/26/19,My 12 week old lab puppy loved this...but I expected it to last longer. Devoured the entire thing in about 30 minutes. Oops...,Negative,Value for Money
413,B0175BN7B0,Mary Lou Triana,1,Gave my dog bloody diarrhea !,4/21/20,"My dog ate through this bone in a matter of minutes, when I went to check on her she had already eaten the entire bone.  That night she started vomiting. She vomited about 4 times during the night.  The next day she had watery diarrhea.  As the day went on it got bloody. By the night fall of day two it will full on blood coming out. Took her to the emergency room, she got treated for digestive issues.  With treatment she improved within hours, however when I wrote to Quado they flat out denied it was due to the bone and even tried to ""silence"" me with a package of treats worth $20 and wanted to me sign non disclosure statement paperwork.  Needless to say they also refuse to pay for any of the medical bills.",Negative,Health Issues
414,B0175BN7B0,eshopper,1,BE AWARE! NOT FOR AGGRESSIVE CHEWERS!,6/1/21,"NOT FOR AGGRESSIVE CHEWERS!  I gave the large size one to my 80 lb lab  After about ten minutes, I thought it had slipped under the bed, beyond my dog’s reach, but In actuality, he had completely devoured it.  The remnants were visible in his vomit!!  He vomited intermittently for almost 24 hours, unable to keep anything down.  He’s fine now, but this product should have a warning!",Negative,Health Issues
415,B0175BN7B0,Amazon Customer,2,Gone in 60 seconds,10/6/19,"As previous reviews mention, the dog loved it, but that’s part of the problem. I’m not sure the bone lasted ten minutes. Based on the packaging and general design of the toy, it seemed like it was designed to last. In reality you are better off buying a box of treats for the same price. I have a 3 year old Pitt mix who is an aggressive chewer. I would discourage similar customers not to purchase this, unless you want an overpriced, one time treat.",Negative,Value for Money
419,B0175BN7B0,Stephanie Hagberg,2,I was super excited to give my dog this chew but it ...,4/30/16,I was super excited to give my dog this chew but it lasted a grand total of 15 minutes. I purchased the largest size and have a black lab.,Negative,Product Quality Issue
420,B0175BN7B0,April Price,1,Horrible.,9/23/16,Bought this for my Westie/Maltese puppy who loves to chew. It was gone within 5 minutes! Horrible.,Negative,Product Quality Issue
421,B0175BN7B0,M. McWade,1,Price is crazy.,12/7/15,This price of $19.99 is ridiculous. I bought one locally for $4.99.,Negative,Value for Money
422,B0175BN7B0,Heather,4,My dog gives it 5 Starz. I give it 3,1/15/22,"I assume this a good treat. I didn't try it myself.  But in the time it took me to walk outside to recycle the packaging and Amazon box, she had this half gone.  Not exactly cost friendly if you have a food loving power chewer. My girl is a 40 pound staffie. If I had to guess, I would say it was gobbled up in under 10 minutes.",Negative,Value for Money
428,B0175BN7B0,Ella,1,My dog ATE this in minutes,10/8/21,"Really would not recommend, lasted 5 minutes maximum. My dog completely ate this, there was nothing left. Very lucky he wasn’t poorly. DO NOT BUY.",Negative,Health Issues
429,B0175BN7B0,SR,5,Dog approved!,5/15/20,My dog is obsessed! I wish it lasted at bit longer though,Negative,Palatability
433,B01JONKIAU,Renee M,4,Dried out and smell weird!,2/18/21,"The quality has really gone downhill. My dog loves them, I buy a ton of these, but I might not if my next order is also poor quality.Update: quality is still terrible, they're just all dried out.Update 5/10/23:The quality has improved. Thank you!",Negative,Product Quality Issue
438,B01JONKIAU,Katie Led,1,So stale that that could not even by cut with a sharp knife!!,2/5/24,"I have been using these for years, and my very small dog just loved them.  However, when I receivedmy latest bags, I could not even cut through them with a sharp knife.  I always cut them into severalpieces, and sometimes they were a little hard and I just splashed into the bag with a little water andsealed it up again, and then they had softened up enough to cut.  The sticks in this latest shipmentwere so hard that I was unable to soften them up, even after several infusions of water into the bag.This is absolutely unacceptable, particularly since they are freshness dated ""by Feb 25, 2025.  Mydentist told me that one of her dogs actually broke a tooth on these dental sticks!!These are supposed to be beneficial for dogs, and not so hard they are dangerous.I am sending the three bags that were in my last shipment to the company, since they are notreturnable to Amazon, but I am disappointed that Amazon is carrying something so obviouslynot up to their standards.I have been purchasing these dental sticks for years for my small Havanese dog.  He loves them and I",Negative,Product Quality Issue
445,B01JONKIAU,Pixie,3,Stale,3/26/22,I don’t know why whenever I get them from Amazon they are stale but when I order from the big c I don’t have the issue of them being so hard I can’t snap them in half.,Negative,Product Quality Issue
