,id,product_id,user_name,rate_stars,review_title,review_date,comment_content,sentiment,label_issue,label_quality_2
74,357,B007RW7CJQ,eric kravchick,2,It only lasted 20 minutes,5/9/23,"Was hoping to be a long lasting chew toy, but he ate it all in 20 minutes",Negative,Product Quality Issue,Durability Issues
76,364,B007RW7CJQ,Deanna Matheney,1,Bad bones,8/30/23,These bones are awful!  The first bones I got were nice and soft and my dogs loved them so I ordered more.  These bones are as hard as bricks!  I’ll never order them again!  I would like a refund!,Negative,Product Quality Issue,Too Hard
80,381,B007RW7CJQ,Jayden,5,"Good as a treat, but not a chew",5/28/19,"I got this for my small dog who is a power chewer. He was able to get chunks of it off, but he did have to work for it. I gave it as a treat more than a chew. Once he had gotten a good amount broken off, I would take it away",Negative,Product Quality Issue,Durability Issues
86,404,B0175BN7B0,Allison I,2,Super small!,2/4/22,"I thought it would be bigger, but when it arrived my German Shepard ate it in about ten minutes",Negative,Product Quality Issue,Durability Issues
88,409,B0175BN7B0,Jessica Sitaras,2,Dog love but lasted 2 minutes,12/3/23,I have a lab mix and he inhaled in minutes. This treat seemed like it should have lasted a lot longer.,Negative,Product Quality Issue,Durability Issues
94,419,B0175BN7B0,Stephanie Hagberg,2,I was super excited to give my dog this chew but it ...,4/30/16,I was super excited to give my dog this chew but it lasted a grand total of 15 minutes. I purchased the largest size and have a black lab.,Negative,Product Quality Issue,Durability Issues
95,420,B0175BN7B0,April Price,1,Horrible.,9/23/16,Bought this for my Westie/Maltese puppy who loves to chew. It was gone within 5 minutes! Horrible.,Negative,Product Quality Issue,Durability Issues
100,433,B01JONKIAU,Renee M,4,Dried out and smell weird!,2/18/21,"The quality has really gone downhill. My dog loves them, I buy a ton of these, but I might not if my next order is also poor quality.Update: quality is still terrible, they're just all dried out.Update 5/10/23:The quality has improved. Thank you!",Negative,Product Quality Issue,Other
101,438,B01JONKIAU,Katie Led,1,So stale that that could not even by cut with a sharp knife!!,2/5/24,"I have been using these for years, and my very small dog just loved them.  However, when I receivedmy latest bags, I could not even cut through them with a sharp knife.  I always cut them into severalpieces, and sometimes they were a little hard and I just splashed into the bag with a little water andsealed it up again, and then they had softened up enough to cut.  The sticks in this latest shipmentwere so hard that I was unable to soften them up, even after several infusions of water into the bag.This is absolutely unacceptable, particularly since they are freshness dated ""by Feb 25, 2025.  Mydentist told me that one of her dogs actually broke a tooth on these dental sticks!!These are supposed to be beneficial for dogs, and not so hard they are dangerous.I am sending the three bags that were in my last shipment to the company, since they are notreturnable to Amazon, but I am disappointed that Amazon is carrying something so obviouslynot up to their standards.I have been purchasing these dental sticks for years for my small Havanese dog.  He loves them and I",Negative,Product Quality Issue,Too Hard
102,445,B01JONKIAU,Pixie,3,Stale,3/26/22,I don’t know why whenever I get them from Amazon they are stale but when I order from the big c I don’t have the issue of them being so hard I can’t snap them in half.,Negative,Product Quality Issue,Too Hard
104,463,B01JONKIAU,melomalo,3,Not A Reliable Count!,12/14/20,These bags are supposed to have 18 chews in them but out of eight bags I ordered only one had that many.  Some were as low as 14 but most had 16.  This is a reoccurring problem.  Manufacturers need to address this.,Negative,Product Quality Issue,Smaller Size
105,485,B01JONKIAU,Bernice G.,2,Good product but product is always old and  rock hard,3/23/21,"My doggie loves this product, but I am no longer going to purchase it from Amazon because I always receive product that is old and is rock hard.  When fresh it is flexible and easier to chew.  So now I purchase from Chewys at a little more cost because at least I know it will not be old and stale.",Negative,Product Quality Issue,Too Hard
106,496,B01JONKIAU,Amazon Customer,4,Four Stars,9/21/17,"Were good, except that they were hard for my dogs to chew.",Negative,Product Quality Issue,Too Hard
109,520,B01JONKIAU,kwitel,1,Product consistently stale,3/3/22,My dog loves these but 2 out of every 4 bags we buy are hard as rocks.Not safe for small dogs.This company needs to do more to ensure that this product is fresh and they are not sending out stale products.,Negative,Product Quality Issue,Too Hard
110,533,B014KLSBDW,Jennifer Huntley,4,The Product Quality,10/29/23,"To Whom It May concern,We been getting these treats for some time now, since we've had our ferrets for 2+ yrs.The last shipment we have received did not look visually appeasing.They came mostly in crumbs, there are some whole pieces, but not a lot.They aren't expired. They don't smell bad.Please quality check these before shipping these. My ferrets love these so I don't want to switch to another seller or different manufacturer.Thank you",Negative,Product Quality Issue,Other
111,542,B014KLSBDW,Alexander Starr,3,They changed them!,4/10/23,"My ferrets are so picky and this was the ONE treat I had found that they would eat! My last review was 5 stars but now they won’t touch them. They changed how they make them and it’s very obvious. The texture is different, they’re way darker in color, and now they won’t eat them anymore!!! Really disappointed",Negative,Product Quality Issue,Other
113,546,B014KLSBDW,Flyguy130,1,"Lately these have been garbage - mostly dust, treats not usual consistency",12/12/23,"I saw warnings in other reviews but sadly disregarded them and bought two packages. These used to be soft, waxy, fatty treats. Now there mostly dust and crumble with the slightest pressure. One of my ferrets won't eat them and shows no interest (but usually loves these) and I don't really feel comfortable feeding them to either because they look expired or poorly formulated. I don't know what happened. These are available with the usual consistency through Petco. Additionally, Amazon/seller won't accept return or replacement of this item in particular. (Though it says we still have about a month left for returns per Amazons policy, this seller doesn't allow returns/refunds.)",Negative,Product Quality Issue,Durability Issues
114,549,B014KLSBDW,FGC,1,Bacon Flavor in Chicken Packages,10/29/22,"I have purchased these many times as my ferret loves their chicken flavor treats. Oddly though, the last time I purchased 2 bags of the chicken flavor ones they looked darker, almost black. My ferret would not eat them. I already purchased the bacon flavor for him awhile ago and he would not eat those either. In the provided picture, the first bag (left) are the chicken ones I am referring to that I just bought and he won't eat. The bag in the middle is my last ""good"" ones I bought and the last time they shipped the ones he loved. Note that these are way lighter in color than the ones on the left. The bag on the right are the bacon ones he won't eat. So, in conclusion, the chicken bag ones on the left look exactly like the bacon ones in the bag on the right. I think they may have put the bacon flavor ones in the chicken bags by mistake. Now I am afraid to order more as I can't be sure they will be correctly packaged and Amazon will not accept returns for them. If you know ferrets, they can be very fussy regarding food and treats so I hope someone that can do something to fix this problem will see this review!",Negative,Product Quality Issue,Color Issue
117,561,B014KLSBDW,Carrie Childress,1,They changed and are inedible.,5/28/23,"I have been buying these for my ferrets for several months and they did love them.  The order I got before this order, I noticed they were different than the order before but my babies still loved them.  I just gave them the last of those yesterday and was glad when the new ones arrived today.  They look different than either of the ones I've had before and neither one of the ferrets will even lick them!! I'm so sad.  My boy likes the chew sticks but my girl doesn't like those so now I've wasted money and have nothing for her until I find some others.  Very disappointed!!",Negative,Product Quality Issue,Durability Issues
119,577,B014KLSBDW,Apollo,1,New bag of treats is different from old bag,2/25/23,"I ordered these treats just a few days ago and they showed up squishy, oily, and secreting some oder. My furry noodle louise has been enjoying these treats for over a year, and she will eat from an old back of the SAME TREATS (SAME INGREDIENT LIST) but not this new bag. this company has lost my business until i find out exactly what they did to my ferrets favorite treats. it sucks because she is a very picky eater, and whoever is running this company should know that it’s common amount ferrets to only like 1-2 types of food. just sad.",Negative,Product Quality Issue,Bad smells
124,608,B014KLSBDW,Kayla Russell,1,What happened to these treats?,11/19/22,What happened to these treats? They look completely different! My ferret has been eating these for over a year and normally loves them. Look like weird crumbles are all over them. She’s grossed out by them and won’t even smell them. Hopefully these treats didn’t change for good because that would be a huge mistake.,Negative,Product Quality Issue,Color Issue
125,609,B014KLSBDW,Deborah Robinson,1,Soft as sandstone treat,8/1/22,"Very disappointed in the last order of these soft treats for my boy fuzzy. You barely try to squish it, it crumbles to dust. This is the only treat my boy will eat and now I have nothing for him. 😐 He's not a bit interested in them anymore. It's almost like they are dried out, too old, or stale.I'm not sure if I will purchase anymore of this treat.",Negative,Product Quality Issue,Durability Issues
130,616,B014KLSBDW,Golden Graham,1,"Gross, seriously expired product",10/8/22,"This is second order in as many months that these treats were nearly rock solid and were obviously old or stored poorly.Normally both of our ferrets love these but they wouldn't touch these last two shipments, and who can blame them.Manage your product storage Amazon, before somebody's pet chokes on these.",Negative,Product Quality Issue,Too Hard
136,635,B01HUX3N8K,Ranger,1,Maybe just my cats,10/8/23,I have older cats and 3 less than year old cats. It way too big. And even when I broke it up they had a had time eating it. Not sure if it is the texture or what. Maybe it’s just my cats,Negative,Product Quality Issue,Smaller Size
141,660,B01HUX3N8K,Familia Butler,4,A little dry,11/5/22,This product is not as moist as I would like.,Negative,Product Quality Issue,Other
142,663,B01HUX3N8K,Daniel S,3,Too big for kitten,7/8/21,"My kitten loves the flavor of these and actively wants to eat them, but they're too big for him to comfortably eat. He struggles to chew them and ends up flinging them around the floor for a few minutes before he manages to bite it in the right way to break it up into smaller pieces.I'm also not sure if I got old stock or what, because they are a lot harder than I expected a soft treat to be. They are a lot denser than most soft treats I've bought in the past, which also makes it harder to chew.",Negative,Product Quality Issue,Smaller Size
144,667,B01HUX3N8K,TriciaB,3,Kitten likes but too big for kitten mouth,11/1/21,"My 3 month old kitten likes these treats but they are way to big to be bite size for a kitten’s small mouth. They do not break neatly into pieces due to soft crumbly texture so she has to lick crumbles from my hand or feeding dish.I also have a full grown 8 pound adult cat and they’re even too big to be easy bite-size for her too.Good price, and good ingredients but unfortunately will not be buying them again.",Negative,Product Quality Issue,Smaller Size
150,678,B01HUX3N8K,Jas,3,Kitten LOVES them,7/12/22,"My kitten can't get enough of these! They are usually pretty great but the last time I ordered, they came stale and hard :'(",Negative,Product Quality Issue,Too Hard
153,681,B01HUX3N8K,Sharon Young,3,Not Popular with Our Kittens,6/30/22,"The product seems soft enough, but makes a crumbled mess. Kittens play with the treats but don't seem to be interested in eating them.",Negative,Product Quality Issue,Crisp
158,694,B01HUX3N8K,Amber Woody,2,Looks like it was smashed,2/28/23,The product itself is a great product. The cats love them. However I'm not sure if the package was damaged during shipping or came that way from the shipper. They look expired and are all in crumbled little pieces. Not satisfied with that part.,Negative,Product Quality Issue,Crisp
160,699,B01HUX3N8K,amrtine,3,Hard to chew. Cats didn't like...,4/19/22,Treats are hard to the touch. My cats didn't like them.,Negative,Product Quality Issue,Too Hard
164,714,B01HUX3N8K,Cynthia Snelling,2,"Good value, but very dry for kittens",8/17/22,"Great deal for the price, however they are very dry (fall apart-messy), can only give 2-3 a day, my kitten eats them but leaves crumbs behind (ant’s issue), would be good if not so dry!",Negative,Product Quality Issue,Durability Issues
167,720,B01HUX3N8K,Sya,5,Kitties love these!,11/12/20,My kitten loves these but they are a bit big for him so I always have to break them in two. They also came squished the 2nd time I ordered them.,Negative,Product Quality Issue,Smaller Size
168,721,B01HUX3N8K,elzdavis,2,Hard and kind of big for kittens,2/1/22,"I can't speak to the taste (!) but my kittens certainly had trouble eating them, partly because they on the bigger side, but mostly because they're so tough. Tried to break them up a little, and while it didn't take heroic strength, I wouldn't say these were tender, either. Putting in the compost.",Negative,Product Quality Issue,Too Hard
173,737,B0175BN418,SG,3,Broke quickly,9/12/20,"My dog really liked the shape of this to hold part and chew the rest. But after only a couple days one of the legs broke off, which left it not any better than a regular bone. Dog is 8 pound puppy, not a giant strong dog or anything!",Negative,Product Quality Issue,Durability Issues
174,747,B00X6THK2S,Love2read,3,Too big,1/19/24,Way too big for my puppy. Should only be bought for large breed puppies.,Negative,Product Quality Issue,Smaller Size
184,836,B00X6THK2S,BlueSkies,1,Not Really Suited for Large Breed Puppies,1/23/24,"My 4-month old Golden Retriever puppy devoired his first ring quickly because the rings are quite thin and thus break apart. After seeing how quickly the first ring fell apart, I threw away the rest of the rings. Perhaps the teething rings are better suited for smaller breeds.",Negative,Product Quality Issue,Durability Issues
185,839,B00X6THK2S,J.A.M,5,Ideal for medium sized dogs/pups,8/16/22,While we fostered puppies that would grow to be large breed but were small/medium these were great! As soon as said pups grew even above 6 months it was too easy for them to chew this in seconds!,Negative,Product Quality Issue,Durability Issues
188,845,B087BHJ9D9,Shelly Ponder,3,Good for a treat but not a long lasting chew,6/21/22,"Max, an 80 Ib Dalmatian/Great Pyrenees mix, enjoyed it but it didnt last longer than maybe 20 mins. He ate it like a treat rather than chewed it like a bone. Hoped this would work but nope, still on the hunt for a long lasting, non-nylon, non-rawhide, non-hard-as-a-rock chew bone!",Negative,Product Quality Issue,Durability Issues
191,848,B087BHJ9D9,Kimberley Wheeler,1,Smells horrible,9/7/22,Not only did this not last but it smells awful and makes a huge mess,Negative,Product Quality Issue,Bad smells
193,855,B087BHJ9D9,Samantha,4,Became a tripod in 5 minutes,4/1/22,"I will start by saying that my dog LOVES this. However, I specifically bought this because the original N-bones last him a long time, and this disappointed in me that regard. I literally gave this to my 4-month-old 40-lb boxer/hound puppy while I was in a meeting, thinking it would keep him busy but 5 minutes in he had already eaten one of the four sticks.So points for flavor and SoMe durability but I won’t be able to consider it a keep-him-busy chew; more like a slightly drawn out snack.",Negative,Product Quality Issue,Durability Issues
197,860,B087BHJ9D9,Heidi,1,"A 10 minute treat never had a chance to be ""interactive""",12/28/22,"I ordered the large for my 45 lb 6 year old mixed breed. Gave it to her while we opened our Christmas stockings. 10 minutes later, nothing was left except a stain on my rug. What part was interactive? Or worth the $10 ""deal"" I got on this?",Negative,Product Quality Issue,Durability Issues
198,861,B087BHJ9D9,Kimberley Wheeler,1,Smells horrible,9/7/22,Not only did this not last but it smells awful and makes a huge mess,Negative,Product Quality Issue,Bad smells
206,915,B09QP9DXJS,RPG,1,Hard rawhide,7/22/23,I thought I was ordering a softer chew. This wasn’t properly advertised & it’s too hard a rawhide for my pup’s teeth.,Negative,Product Quality Issue,Too Hard
214,1033,B0B8L31J68,J,1,Terrible! Hard as a rock!,2/8/23,"My pup loves these rings, which we normally order from Chewy. But we'd run out, and I needed fast delivery, so I ordered two bags from Amazon. Huge mistake!I don't know what was done to these, if they were stored in extreme temps or what. But instead of being very firm but chewy, both bags were filled with rings that were completely rigid and hard. My pup couldn't even chew them. What an awful waste of money for a usually great product.",Negative,Product Quality Issue,Too Hard
243,1201,B01JONK8Q4,abc,2,Too hard,6/9/23,I have been buying these for a long time. Lately I have been receiving them and they are hard as nails - especially the ends-  which are very sharp. They are not out of date. I don't feel comfortable giving this to my dog anymore,Negative,Product Quality Issue,Too Hard
247,1228,B01JONK8Q4,"Beth in Olympia, WA",1,Too hard!,6/21/22,"These treats are so hard my dog did not like them.  I buy dog treats and then usually cut them into smaller pieces to use in training.  These treats are sticks that are about 5 inches long and 1/4 inch in star shaped diameter.  I tried cutting them in smaller pieces but it was not easy!!  I used my sharpest knife but when I gave several to my dog, he tried to chew them but wasn't able to. He tried for several minutes but then just spit it out and walked away from it.  I have a miniature schnauzer.  I guess they might be OK for a larger dog.Sorry ""get naked"", but these are much too hard for my pup to chew.  I ordered a set of 3 bags and will be donating these to the local animal shelter and hoping I can find a softer treat to use in future training. Beth in Olympia",Negative,Product Quality Issue,Too Hard
248,1230,B01JONK8Q4,Lauren,4,My pup liked them but...,12/21/20,My pup liked them but I think one of the ingredients (i think the cranberry) leaves little black particles on my pups teeth which kind of defeats the purpose.,Negative,Product Quality Issue,Color Issue
255,1251,B01JONK8Q4,John,5,Dog loves them,6/6/22,They don’t last one minute,Negative,Product Quality Issue,Durability Issues
257,1271,B077VQ3GRD,Mari,3,Color of chicken flavor is very dark,11/9/23,"Just received the ring. I ordered chicken flavor, but they are dark, almost black. Does anyone have the same? I tried to contact customer service, but there was no one to answer",Negative,Product Quality Issue,Color Issue
258,1275,B077VQ3GRD,Daniel McConnell,3,This product initially was 2 tone and looked like the product on the bag.,1/6/24,Over the last 4 to 6 months 90% of the orders have been dark brown/black in color all the way through. The appearance is that they are over cooked / baked. Something has changed significantly with the product processing. would like to see it resolved and back to the way the product was received 6 plus months ago.,Negative,Product Quality Issue,Color Issue
259,1276,B077VQ3GRD,Andres B.,3,Good but more of a treat for my puppy,4/24/23,"These are good, but they don’t last long at all my puppy ate one of them in about 5 mins . She enjoyed it but as a dental chew I expected something a little more long lasting.",Negative,Product Quality Issue,Durability Issues
260,1277,B077VQ3GRD,donna risi,1,Product was defective,10/31/23,"I bought these teething rings before at a local store so I do know what the product supposed to look like don’t know if they were another flavor other than what was in the package, but they were dark and old and smelly. Not like the teething rings I get, which are light tan have no odor.",Negative,Product Quality Issue,Bad smells
261,1278,B077VQ3GRD,Brittany Farnsworth,1,These look spoiled,10/7/23,These pieces were black instead of the normal color. I threw them away. I posted a photo of the bone next to a cut piece of what color they should be.,Negative,Product Quality Issue,Color Issue
262,1281,B077VQ3GRD,Robin M. Solomon,2,Too soft to be effective,5/22/19,Too soft,Negative,Product Quality Issue,Too Hard
267,1300,B077VQ3GRD,Nicole,1,Bad product,9/17/23,They came black and smell rotten. Will not be giving this to my dog or reordering this product. 🤢,Negative,Product Quality Issue,Bad smells
272,1346,B09R6PPRMH,Amazonian,3,Too soft,2/6/24,"My little Maltese eat these in a mater of seconds, was hoping they would be a little harder to slow down the consumption and allow them to chew.",Negative,Product Quality Issue,Durability Issues
288,1434,B093QSLWZ8,Eileen,1,Stale,5/11/22,Stale,Negative,Product Quality Issue,Too Hard
294,1458,B0153SSMOO,Good value and my ferrets love it .,2,"Ferrets won't eat, way to big",11/24/23,It came packaged well but the particles are too big the ferrets would not eat it I even tried to give it to my cat and he would not eat it and he eats anything. Product is a little sticky and hard to chew for the animals not to say it doesn't work well for other people's ferrets and my dog likes it 🤷,Negative,Product Quality Issue,Too Hard
296,1460,B0153SSMOO,Treats are dry and not moist like they usual are,3,Dry treat,6/7/23,It’s too dry this time they usually are moist,Negative,Product Quality Issue,Too Hard
298,1469,B0153SSMOO,Tiffany,1,Different recipe?,4/5/23,"The last batch of treats I received were much darker and had a different texture. My ferrets usually go crazy for these, but not with the new batch. I’m not sure what changed or if the company that sells these is a scam, but I will be purchasing from chewy from now on. Chewy has the same type I have received in the past that my ferrets really enjoy.",Negative,Product Quality Issue,Color Issue
321,1589,B00061URQA,Amazon Customer,5,Stick,6/2/23,Some of the sticks are stuck together and hard to seperate,Negative,Product Quality Issue,Too Hard
322,1592,B00061URQA,Diversity brothers LLC,5,my dog loves em,5/16/23,"Great for pups under 3 months, my dog now destroys one in a single bite.",Negative,Product Quality Issue,Durability Issues
323,1595,B00061URQA,Companion,3,Size of the treat,5/10/23,It's size is so small! It's miniscule for my puppy.,Negative,Product Quality Issue,Smaller Size
324,1599,B00061URQA,NAY,4,My puppies loved it!,9/5/22,You must keep an eye on your pup while consuming. After a while it becomes very short and is hard for them to keep a hold of.,Negative,Product Quality Issue,Durability Issues
338,1645,B08KL4M5RK,mike,3,Messy,8/29/23,"Recommends only half per day but when they don’t finish it your left with a soggy disgusting half ring that leaves behind residue on carpets or fabrics , matted up the hair of my doodle around mouth and hands where she was “holding it” took an extra 10-15 minutes to groom it all out of her hair",Negative,Product Quality Issue,Durability Issues
341,1649,B08KL4M5RK,Rebecca M.,2,Extremely hard for puppies,1/4/24,This one is not for small puppies - extremely hard. The pup tried one and couldn't gnaw on it. The other puppy teething ring from the same company (not for teeny puppies) is much better even though a little bigger than this one.,Negative,Product Quality Issue,Too Hard
345,1668,B08KL4M5RK,Amazon Customer,2,Ok but easily eaten and gone,7/26/23,Good for 10 min of puppy distraction time time but easily destroyed and gone. Wouldnt buy again.,Negative,Product Quality Issue,Durability Issues
347,1672,B08KL4M5RK,JACKIE SANTILLI,3,Not for aggressive chewers,4/8/22,This teether would be excellent for smaller breeds and breeds that aren’t aggressive chewers.  My pup loved it but tore it up in less than ten minutes.  He did however enjoy it,Negative,Product Quality Issue,Durability Issues
358,1703,B09R6FX8LH,antoinette,4,"WOULD NOT BUY AGAIN, WOULD NOT RECOMMEND",4/1/23,"I give it 4* for entertainment purposes only... if you are holding the dog while they chew this, your clothes will get gross... it will leave a gross mess everywhere your dog decides it wants to chew it... if in the crate, all their bedding will need washed... I highly recommend this be an OUTSIDE chew or it will be way more hassle than it's worth...",Negative,Product Quality Issue,Bad smells
362,1717,B09R6FX8LH,Susan Jasneski,3,My dog didn’t like these,9/26/23,Too big for little puppies,Negative,Product Quality Issue,Smaller Size
364,1724,B09R6FX8LH,kianayek,4,Puppy loves it,9/22/22,My puppy loves this treat! It keeps her distracted for a little while. They are hard to cut in half so I wish they would make half sticks since the recommendation for dogs under a certain weight is only half a stick a day. Also wish there were more flavors cause my dog isn’t as interested as she was before as I have repurchased several times,Negative,Product Quality Issue,Other
370,1760,B09R6FX8LH,gingy and gingireen,5,My dogs like these.,6/28/22,They do not last very long though.,Negative,Product Quality Issue,Durability Issues
381,1798,B0BFJR81WF,Lauren,1,"Waste of money, bone didn't last 5min.",4/3/23,"Poor quality, waste of money. Would not recommend, unless u just want to give it to your dog like it's a biscuit. Probably going to make my pitmix sick. She ate the whole thing in 2 minutes. I just spent $60 on dog bone purchases and this is my least favorite. Will not purchase this product again.",Negative,Product Quality Issue,Durability Issues
391,1841,B09FQBPCF1,Amazon Customer,2,Ok but easily eaten and gone,7/26/23,Good for 10 min of puppy distraction time time but easily destroyed and gone. Wouldnt buy again.,Negative,Product Quality Issue,Durability Issues
392,1845,B09FQBPCF1,JACKIE SANTILLI,3,Not for aggressive chewers,4/8/22,This teether would be excellent for smaller breeds and breeds that aren’t aggressive chewers.  My pup loved it but tore it up in less than ten minutes.  He did however enjoy it,Negative,Product Quality Issue,Durability Issues
404,1876,B00061MULK,iPad customer,2,They are very hard,1/3/24,Too hard for our year old cat to eat,Negative,Product Quality Issue,Too Hard
412,1895,B00061MULK,Amron_J,3,N-Bone Cat Chew Treats,8/10/23,So hard my cat couldn't chew them up--given away after trying one.,Negative,Product Quality Issue,Too Hard
414,1903,B00061MULK,Tracy's Late,1,Too hard for my cat to chew,2/16/24,"These are just too hard for my cat to chew, and he is a chewy boy.  These feel like hard plastic rods, and apparently don't have enough flavor to make even just licking them desirable, and my boy is obsessed with food.  The only plus side is that my daughter's dog likes them, so they didn't go completely to waste.",Negative,Product Quality Issue,Too Hard
430,1937,B00061MULK,Amazon Customer,1,Kitty didnt like it,1/4/24,I'm very unhappy with these treats. They are so hard that my cat cant even bite on it. I also couldnt break it in half. It has a plastic texture. Very dissappointed☹️,Negative,Product Quality Issue,Too Hard
441,1960,B00061MULK,amber,4,Great for cats who with pica,6/15/21,My cat chews through absolutely everything. from my tv (I know) and plastic to wires and wood. At first my cat was confused. It seemed like she liked the smell but she left it alone for a while. I figured it was too long/big so I cut it in half and now shes busy chewing on that instead of my apartment. The only downside is that she's starting to think its a toy -.-,Negative,Product Quality Issue,Durability Issues
451,2001,B00HHIM4LG,Miss Daisy,1,Not worth the money,5/12/22,They are hard as rocks. I buy non rawhide bones for my dogs but they couldn’t even put teeth marks in these!,Negative,Product Quality Issue,Too Hard
453,2009,B00HHIM4LG,Oz@Beach,1,Hard as a rock and turned down by 5 dogs,1/4/20,These are horrible.  Hard as a rock and not even breakable let alone chewable.  Not a dog in my neighborhood was the least bit interested.  I'd return them if I could...,Negative,Product Quality Issue,Too Hard
455,2018,B00HHIM4LG,Reader2016,1,Hard as a rock,4/3/17,"These are hard as a rock and have no give. I have a senior (chihuahua) dog and his poor little mouth didn't stand a chance. I rated it so low because of that. Younger, bigger dogs might love them.",Negative,Product Quality Issue,Too Hard
467,2115,B003AYCVVY,Linda S. Aragon,4,Four Stars,2/23/16,ok but dont last long,Negative,Product Quality Issue,Durability Issues
474,2147,B09JKJ871B,Ashley,2,Does not last,4/30/23,"My 15 week old puppy ate these in 5 minutes, these do not last as long as other teething bones.",Negative,Product Quality Issue,Durability Issues
480,2156,B09JKJ871B,Rachel Moore,5,Puppy loves it,9/6/22,Nice chew treat.. doesn’t last long for a medium breed puppy,Negative,Product Quality Issue,Durability Issues
486,2187,B01HUX3NNU,Lisa Palmosina,4,What happened to the product?,9/12/22,"Our cats have been eating these treats for close to a year, and they love them. They're moist and easy to break in half for them. The two new packages I received about 2 weeks ago are dry, crumbly and falling apart. The pieces are unevenly sized and it's just a mess. Our cats don't care for them as much as the previous versions, and they make a mess. What happened? I hope it was a one time issue. I'll order one more time, and if they're the same way, I guess I'll move on. Original ones were fantastic.",Negative,Product Quality Issue,Durability Issues
