,Unnamed: 0,product_id,user_name,rate_stars,review_title,review_date,comment_content,sentiment,label1,label2
232,232,B09FQ9VZNP,Anonymous Reader,2.0,Cats wouldn’t touch it,2022-09-27,Cats wouldn’t touch these and it gave one of them the runs.  Uggh!,neutral,Negative,Health Issues
235,235,B09FQ9VZNP,Liz Marsh,1.0,"Powder, not treats",2023-06-12,"This product was clearly crushed at some point, and arrived as a powder not as treats.  Not refundable or replaceable for some reason, so buyer beware...",negative,Negative,Product Quality Issue
236,236,B09FQ9VZNP,Sam,2.0,They are picky,2022-01-24,Unfortunately my furballs did care for this treat,negative,Negative,Palatability
238,238,B09FQ9VZNP,Denny,1.0,Crushed,2023-05-21,When I opened the bag 1/2 the treats were crushed.,negative,Negative,Product Quality Issue
240,240,B09FQ9VZNP,Kathi S.,1.0,Didn’t go over well,2023-01-08,George turned his nose up at it,neutral,Negative,Palatability
241,241,B09FQ9VZNP,Marcia Ellis,1.0,Cats won’t eat them,2022-06-23,I have two feral cats that I was trying to calm down they would not eat this product,positive,Negative,Palatability
248,248,B09FQ9VZNP,nlb,3.0,Would like better instruction,2022-07-13,Kitties getting diarrhea from a couple of trts,neutral,Negative,Health Issues
254,254,B09FQ9VZNP,optimummind,2.0,My kitty won't eat them.,2021-10-23,"I got these for my 13-yo Doll Face Persian and he doesn't like it. At first, he tried a couple because I guess the treats smelled good and he was willing to test them out. From the second time and onward, he just ignores the treats.2 stars.",positive,Negative,Palatability
272,272,B08PQ7VYSV,Scarlett Estelle,5.0,My pup loves these!,2022-10-16,"Great for teething puppy, but a tad pricey for only 5 to the bag",positive,Negative,Value for Money
275,275,B08PQ7VYSV,Linda M,3.0,Puppy did not like them,2023-10-15,I am not sure why he did not like these,negative,Negative,Other
276,276,B08PQ7VYSV,Aujalee Moore,2.0,Very small,2024-01-12,Smaller than advertised when they arrived,neutral,Negative,Product Quality Issue
277,277,B08PQ7VYSV,Geo,3.0,Choking hazard ? Please watch your pet,2023-01-24,Second time my 48 lb & 4.5 month old lab somewhat chokes on these. The piece gets stuck or something and he gags to try to get it in or throw it out. Unfortunately I won’t be buying these anymore. They were so good too,positive,Negative,Safety Concerns
278,278,B08PQ7VYSV,Kat,2.0,"These are great treats, but for teething the lasted less than a minute.",2023-10-21,"These are great treats, but for teething the lasted less than a minute.",positive,Negative,Health Issues
281,281,B08PQ7VYSV,Amazon Customer,3.0,Good Teething Ring for Smaller Dogs,2021-09-08,Way too easy and quick to chew for a german shepherd mix puppy at 3 months of age.  It only took him 10 minutes to finish.,positive,Negative,Product Quality Issue
282,282,B08PQ7VYSV,CR,1.0,Shocking hazard,2023-09-04,"I prefer to not give this to my puppy. Thank God he was supervised, he almost shocked. Please be careful, it was a scary experience.",negative,Negative,Safety Concerns
285,285,B08PQ7VYSV,Trusting Consumer,1.0,Says for puppies but too big for my puppy,2021-12-05,Wanted my puppy to have biting options but size was too difficult for her. She is a 5 poundMorkie,negative,Negative,Product Quality Issue
286,286,B08PQ7VYSV,rhonda williams,1.0,Eew,2021-07-20,"Disgusting!! These rings absolutely reek, so I'm giving them to my older pup to get rid of them!!",negative,Negative,Palatability
287,287,B08PQ7VYSV,Anderson789,1.0,Choking Hazard,2024-01-12,"Always have to toss them after my 7lb puppy (mini golden doodle) breaks the ring after a few mins after chewing. Then she breaks off pieces. The pieces are hard and can cause choking. Beware and at the very least, don’t leave your dog alone with these.",negative,Negative,Safety Concerns
288,288,B08PQ7VYSV,Diane B,1.0,Please read,2023-04-18,Warning ⚠️ My 5 month old Golden Retriever is 45 lbs & a really strong chewer. These rings have a great flavor he liked. Please don’t ever leave your young pup or adult dog unsupervised because big pieces break off or just don’t give because the pup cannot chew them. I had to stop them all together because even when supervised there’s a risk of choking. I have tried calling the company but no response.,positive,Negative,Safety Concerns
295,295,B007RW7CJQ,Paul Mays,4.0,Worked Fine,2024-01-12,Little pricy for just the two.  Not for senior dog.,negative,Negative,Value for Money
304,304,B007RW7CJQ,Jason Howell,3.0,Small,2023-10-25,It’s way smaller than it looked. I hope it holds up to my 30 lb dog.,neutral,Negative,Product Quality Issue
318,318,B007RW7CJQ,Alicia McGilloway,3.0,These are really small,2023-05-22,Didn't realize how small these would be. I figured it would take my dog awhile to eat but she ate it really quickly. Next time I'll get the bigger ones.,negative,Negative,Value for Money
320,320,B007RW7CJQ,Edward Lee Robinson Jr,3.0,Tiny,2023-06-04,The bone was very small.,negative,Negative,Product Quality Issue
329,329,B007RW7CJQ,bonana,3.0,he buries them,2016-06-21,"sigh, buries these too.  had a feeling he would.package super-tough and impossible to open w/o scissors.  to give him some fun out of it, I gave it to him in unopened package. he likes to unpackage stuff himself better than to have it just handed to him but usully wont let him.after 4 days he still hadn't gotten it open so I cut it open and offered bone, which he immediately buried.is a mystery to me why he doesn't take more interest in this type of offering.  buries every one of the 50 diff types of chews I've tried so cant blame product.is a 4yr old new adoptee, sweet but untrained shelter resident that loves to chew.  on me, cardboard, brittle plastic, rubber doorstops(swallows rubber, dangerous), anything he isn't supposed to.  if I could just find him something legit he likes to chew before I go broke on this search. maybe a bit softer with an irresistible flavor?comments/suggestions welcome",positive,Negative,Product Quality Issue
331,331,B007RW7CJQ,Scott,2.0,Lasted 1 hour & upset stomach,2023-02-24,"Wouldn’t recommend. We like N-Bones products, the teething rings have been amazing for our puppy but I got this and our 12lb dog finished the whole thing in maybe an hour. When I took it out of the packaging it was already like melting/crumbing off on my hands. Also caused some gastrointestinal distress, but that’s not surprising considering it is pretty big and she ate the whole thing in one sitting lol.",positive,Negative,Health Issues
345,345,B007RW7CJQ,trish,5.0,I need to return,2022-10-07,These are for small dogs I need to return my dogs weigh 200 lbs,negative,Negative,Purchase and Return Policy
349,349,B007RW7CJQ,Roxane,5.0,My dog loves them,2019-04-16,"I worry about the different chew bones because some have plastic in them and other bad things that I wouldn't want to eat myself. Not mention the health risk from Ingesting them. These are made of quality ingredients and my dog loves them. I would never give my dog Rawhide, Nylabone, Hartz, or Greenies. Have heard horror stories from vets as well as responsible pet owners about the products I just mentioned. Please do your research before giving anything to your beloved pet.",positive,Negative,Health Issues
355,355,B007RW7CJQ,No name,3.0,Super small,2022-09-04,These are super small I was worried my 35lb dog would choke on them,positive,Negative,Safety Concerns
357,357,B007RW7CJQ,eric kravchick,2.0,It only lasted 20 minutes,2023-05-09,"Was hoping to be a long lasting chew toy, but he ate it all in 20 minutes",negative,Negative,Product Quality Issue
359,359,B007RW7CJQ,N. D.,1.0,My dog stinks!,2023-09-15,"Gave this to my dog last night and she is farting so putrid that she's attempting to hide in her kennel from it. Whenever I try to escape the room, she follows and so does her smell.Putting this as a reminder to never purchase again, poor thing.. poor me..",negative,Negative,Health Issues
374,374,B007RW7CJQ,Crystal,1.0,My dog doesn’t eat just peanuts,2023-08-29,This is a peanut flavor not peanut butter so my dog smelled it and walked away. Waste of 💰for me. I’ve learned I can’t buy treats online unless I know it’s something she will eat,negative,Negative,Value for Money
379,379,B007RW7CJQ,Chris Termini,3.0,gone in a flash,2022-01-04,our mid sized 14 months old dog devoured this bone in 20 minutes or less.,negative,Negative,Palatability
381,381,B007RW7CJQ,Jayden,5.0,"Good as a treat, but not a chew",2019-05-28,"I got this for my small dog who is a power chewer. He was able to get chunks of it off, but he did have to work for it. I gave it as a treat more than a chew. Once he had gotten a good amount broken off, I would take it away",positive,Negative,Product Quality Issue
390,390,B007RW7CJQ,KB,1.0,These are ridiculously small and a choke hazard for any size dog,2023-06-07,"I almost laughed when I opened the package. These are so ridiculously small and I wouldn’t give to ANY size dog as a major choke hazard and now I’m stuck, not able to return (or even exchange for bigger size!) them, even though I am a dedicated amazon prime customer. Come on seller/Amazon, so dangerous!",negative,Negative,Safety Concerns
396,396,B0175BN7B0,p dean addison,4.0,Dog loves them!!!,2017-10-23,Scarfs them right up... slightly expensive though,negative,Negative,Value for Money
404,404,B0175BN7B0,Allison I,2.0,Super small!,2022-02-04,"I thought it would be bigger, but when it arrived my German Shepard ate it in about ten minutes",neutral,Negative,Product Quality Issue
409,409,B0175BN7B0,Jessica Sitaras,2.0,Dog love but lasted 2 minutes,2023-12-03,I have a lab mix and he inhaled in minutes. This treat seemed like it should have lasted a lot longer.,neutral,Negative,Product Quality Issue
410,410,B0175BN7B0,Amazoner,1.0,Read before purchasing,2023-12-28,"Be very careful with this product for small dogs. It cause my 18 lb dog diarrhea and vomiting 6 hrs after chewing it. The diarrhea and vomiting continued through the night, and proceeded to bloody vomiting. My dog was able to recover 24 hours later but this is a serious issue people should be aware of.",negative,Negative,Health Issues
412,412,B0175BN7B0,Alyson,3.0,Won’t last long,2019-05-26,My 12 week old lab puppy loved this...but I expected it to last longer. Devoured the entire thing in about 30 minutes. Oops...,positive,Negative,Value for Money
413,413,B0175BN7B0,Mary Lou Triana,1.0,Gave my dog bloody diarrhea !,2020-04-21,"My dog ate through this bone in a matter of minutes, when I went to check on her she had already eaten the entire bone.  That night she started vomiting. She vomited about 4 times during the night.  The next day she had watery diarrhea.  As the day went on it got bloody. By the night fall of day two it will full on blood coming out. Took her to the emergency room, she got treated for digestive issues.  With treatment she improved within hours, however when I wrote to Quado they flat out denied it was due to the bone and even tried to ""silence"" me with a package of treats worth $20 and wanted to me sign non disclosure statement paperwork.  Needless to say they also refuse to pay for any of the medical bills.",negative,Negative,Health Issues
414,414,B0175BN7B0,eshopper,1.0,BE AWARE! NOT FOR AGGRESSIVE CHEWERS!,2021-06-01,"NOT FOR AGGRESSIVE CHEWERS!  I gave the large size one to my 80 lb lab  After about ten minutes, I thought it had slipped under the bed, beyond my dog’s reach, but In actuality, he had completely devoured it.  The remnants were visible in his vomit!!  He vomited intermittently for almost 24 hours, unable to keep anything down.  He’s fine now, but this product should have a warning!",positive,Negative,Health Issues
419,419,B0175BN7B0,Stephanie Hagberg,2.0,I was super excited to give my dog this chew but it ...,2016-04-30,I was super excited to give my dog this chew but it lasted a grand total of 15 minutes. I purchased the largest size and have a black lab.,positive,Negative,Value for Money
420,420,B0175BN7B0,April Price,1.0,Horrible.,2016-09-23,Bought this for my Westie/Maltese puppy who loves to chew. It was gone within 5 minutes! Horrible.,negative,Negative,Product Quality Issue
429,429,B0175BN7B0,SR,5.0,Dog approved!,2020-05-15,My dog is obsessed! I wish it lasted at bit longer though,negative,Negative,Palatability
433,433,B01JONKIAU,Renee M,4.0,Dried out and smell weird!,2021-02-18,"The quality has really gone downhill. My dog loves them, I buy a ton of these, but I might not if my next order is also poor quality.Update: quality is still terrible, they're just all dried out.Update 5/10/23:The quality has improved. Thank you!",negative,Negative,Product Quality Issue
438,438,B01JONKIAU,Katie Led,1.0,So stale that that could not even by cut with a sharp knife!!,2024-02-05,"I have been using these for years, and my very small dog just loved them.  However, when I receivedmy latest bags, I could not even cut through them with a sharp knife.  I always cut them into severalpieces, and sometimes they were a little hard and I just splashed into the bag with a little water andsealed it up again, and then they had softened up enough to cut.  The sticks in this latest shipmentwere so hard that I was unable to soften them up, even after several infusions of water into the bag.This is absolutely unacceptable, particularly since they are freshness dated ""by Feb 25, 2025.  Mydentist told me that one of her dogs actually broke a tooth on these dental sticks!!These are supposed to be beneficial for dogs, and not so hard they are dangerous.I am sending the three bags that were in my last shipment to the company, since they are notreturnable to Amazon, but I am disappointed that Amazon is carrying something so obviouslynot up to their standards.I have been purchasing these dental sticks for years for my small Havanese dog.  He loves them and I",negative,Negative,Product Quality Issue
445,445,B01JONKIAU,Pixie,3.0,Stale,2022-03-26,I don’t know why whenever I get them from Amazon they are stale but when I order from the big c I don’t have the issue of them being so hard I can’t snap them in half.,negative,Negative,Product Quality Issue
447,447,B01JONKIAU,M. D.,3.0,Price keeps going up. Not worth it.,2021-01-28,"These are one of my dogs’ favorite treats. We used to buy these several times a month, but they have raised the price drastically since I first started getting them ($3.99 to $8.99 in less than two years) so we have stopped buying them as often. I would say these are five star treats at $4-$5, but not at the current price point (there are better quality treats to buy for $10).",positive,Negative,Value for Money
485,485,B01JONKIAU,Bernice G.,2.0,Good product but product is always old and  rock hard,2021-03-23,"My doggie loves this product, but I am no longer going to purchase it from Amazon because I always receive product that is old and is rock hard.  When fresh it is flexible and easier to chew.  So now I purchase from Chewys at a little more cost because at least I know it will not be old and stale.",negative,Negative,Value for Money
496,496,B01JONKIAU,Amazon Customer,4.0,Four Stars,2017-09-21,"Were good, except that they were hard for my dogs to chew.",positive,Negative,Product Quality Issue
506,506,B01JONKIAU,A child of Messiah,5.0,Only problem the cost. I was able to get ...,2016-10-28,Only problem the cost. I was able to get at intro price under $3. But regular will be over $10. For produce is way to expensive,neutral,Negative,Value for Money
512,512,B01JONKIAU,Jackie Rodriguez,3.0,Three Stars,2018-05-02,"My dog loves these treats, but he's allergic to chicken and rice - and they're the main ingredients.",negative,Negative,Health Issues
533,533,B014KLSBDW,Jennifer Huntley,4.0,The Product Quality,2023-10-29,"To Whom It May concern,We been getting these treats for some time now, since we've had our ferrets for 2+ yrs.The last shipment we have received did not look visually appeasing.They came mostly in crumbs, there are some whole pieces, but not a lot.They aren't expired. They don't smell bad.Please quality check these before shipping these. My ferrets love these so I don't want to switch to another seller or different manufacturer.Thank you",positive,Negative,Product Quality Issue
545,545,B014KLSBDW,Stefanie Dunn,2.0,Bad food,2023-12-03,Smells bad and I have 4 ferrits that just turned their noise up,negative,Negative,Palatability
546,546,B014KLSBDW,Flyguy130,1.0,"Lately these have been garbage - mostly dust, treats not usual consistency",2023-12-12,"I saw warnings in other reviews but sadly disregarded them and bought two packages. These used to be soft, waxy, fatty treats. Now there mostly dust and crumble with the slightest pressure. One of my ferrets won't eat them and shows no interest (but usually loves these) and I don't really feel comfortable feeding them to either because they look expired or poorly formulated. I don't know what happened. These are available with the usual consistency through Petco. Additionally, Amazon/seller won't accept return or replacement of this item in particular. (Though it says we still have about a month left for returns per Amazons policy, this seller doesn't allow returns/refunds.)",positive,Negative,Product Quality Issue
552,552,B014KLSBDW,Marie,3.0,Egg doesn't find it tasty,2022-10-30,"Egg goes crazy for the chew sticks, but he doesn't like these treats for some reason. He loves chicken and goes crazy for chicken-flavored foods, but he took one bite of this, and never touched it again.",negative,Negative,Palatability
556,556,B014KLSBDW,L,1.0,Yuck!!,2023-12-09,Ferrets wont eat this product.  I can’t return for a refund. Guess the treats will sit in my cupboard until moldy and then throw them away.,neutral,Negative,Purchase and Return Policy
573,573,B014KLSBDW,June Stull,1.0,They don't like them,2023-12-18,Waste,negative,Negative,Other
590,590,B014KLSBDW,Tracy Petit,3.0,Good price... ferret won’t touch them,2020-07-31,"Giving 3 stars because there’s a good amount for the price and it came quick. My ferret won’t touch them though, I’ve learned the dog loves them quite much .. but ferret isn’t having it.",positive,Negative,Palatability
593,593,B014KLSBDW,Karla Thomas,5.0,Great Deal,2020-10-09,"Well just short & sweet... no picture because my Ferret has torn the bag up, and She will not munch on them until I am away from her",positive,Negative,Palatability
594,594,B014KLSBDW,SP,1.0,👎🏻,2023-06-17,My 3 ferrets won’t even touch it.  I hadn’t order it for a long time I forgot.  My last 3 ferrets dint even touch it either. Squirrels love the treat though.,positive,Negative,Palatability
610,610,B014KLSBDW,Amazon Customer,3.0,Okay,2020-05-03,My ferret doesn’t seem to like these treats very much. He’ll eat half and then spit it out.,positive,Negative,Palatability
613,613,B014KLSBDW,Amazon Customer,3.0,Ferret did not like,2020-07-16,This seemed like a good product but my little guy didnt not like them at all.,positive,Negative,Palatability
620,620,B014KLSBDW,Katie Cook,3.0,Overall they are cheap and decent looking,2021-03-08,My ferrets won’t eat them.,neutral,Negative,Palatability
625,625,B014KLSBDW,Mina,2.0,My ferrets did t like,2022-04-19,None of my ferrets liked these.,positive,Negative,Palatability
626,626,B014KLSBDW,Sara Fender,3.0,Luckily they weren't expensive,2021-01-07,My little man didn't like them,negative,Negative,Palatability
628,628,B014KLSBDW,Donna Bovee,2.0,Refused to eat them,2022-05-24,Both of my ferrets refused to eat them,neutral,Negative,Palatability
656,656,B01HUX3N8K,Amazon Customer,5.0,Must be good,2023-08-23,My cat found these in a cabinet somehow and tore them up,neutral,Negative,Other
660,660,B01HUX3N8K,Familia Butler,4.0,A little dry,2022-11-05,This product is not as moist as I would like.,neutral,Negative,Palatability
665,665,B01HUX3N8K,Sharon Podo,2.0,Kitten treats,2023-10-11,Gave my cat diarrhea.,neutral,Negative,Health Issues
667,667,B01HUX3N8K,TriciaB,3.0,Kitten likes but too big for kitten mouth,2021-11-01,"My 3 month old kitten likes these treats but they are way to big to be bite size for a kitten’s small mouth. They do not break neatly into pieces due to soft crumbly texture so she has to lick crumbles from my hand or feeding dish.I also have a full grown 8 pound adult cat and they’re even too big to be easy bite-size for her too.Good price, and good ingredients but unfortunately will not be buying them again.",positive,Negative,Product Quality Issue
674,674,B01HUX3N8K,Stephany Castellanos,2.0,My cat and kitten didn’t want to be near these:,2023-04-26,"Honestly my rating is a 2 because my cats eat everything but didn’t want to even smell these. They were soft, smelled  good,  and they were fresh. But again I’ll rate them a 2 because of my cats reaction to them.",positive,Negative,Palatability
675,675,B01HUX3N8K,Sami G,2.0,Kittens didn't like it,2023-08-12,My kittens would not eat this.,neutral,Negative,Palatability
677,677,B01HUX3N8K,bea,2.0,2 kittens would not eat,2023-06-14,2 kittens would not eat and we tried a few times/days.  looks like nice product,positive,Negative,Palatability
678,678,B01HUX3N8K,Jas,3.0,Kitten LOVES them,2022-07-12,"My kitten can't get enough of these! They are usually pretty great but the last time I ordered, they came stale and hard :'(",negative,Negative,Product Quality Issue
679,679,B01HUX3N8K,JB,3.0,Too big for kittens!,2021-10-28,"Dissapointed ... upon seeing size, I knew too big. The kitten or my 'piggy' 4yr old cat wouldn't touch.This is a revision... I was able to break into 4 small pieces and now kitten will eat. Size needs help, BIG treats!",positive,Negative,Palatability
681,681,B01HUX3N8K,Sharon Young,3.0,Not Popular with Our Kittens,2022-06-30,"The product seems soft enough, but makes a crumbled mess. Kittens play with the treats but don't seem to be interested in eating them.",positive,Negative,Product Quality Issue
686,686,B01HUX3N8K,New kitty owner,3.0,Contains taurine used for energy drinks,2020-06-25,"My kitty went crazy after eating one, kept catapulting from floor to the back of couch, and bouncing off the walls running into it repeatedly. His pupils got large and he behaved strange. I looked into the ingredients and it contains taurine, which I believe is used in a lot of energy drinks. The seller should advertise the product as such. I didn’t want a cat nip, just kitty treats.",negative,Negative,Health Issues
689,689,B01HUX3N8K,BrendaEichelberg,3.0,My kittens hate them,2022-03-11,I thought they would love treats but apparently not. I don't know if it is just them or the product. Probably just them....,positive,Negative,Palatability
692,692,B01HUX3N8K,Dasha,1.0,Not for sensitive cats,2023-12-22,My kitten just had 3 pieces as instructed and threw up. Def not for sensitive kittens,positive,Negative,Health Issues
696,696,B01HUX3N8K,Viki K,1.0,NONE of our cats will eat these,2023-08-10,I bought these after reading the great reviews.  Maybe the recipe has changed or something but not one of our 4 cats - including two kittens -  will eat them.  These same cats adore Temptations treats - shake the box and they come running.  I'll have to give the treats to our old Lab who will eat anything.,positive,Negative,Palatability
703,703,B01HUX3N8K,Beth,3.0,Seems like a good treat but my cat didnt like it,2021-07-29,My cat has only ate about 2-3 treats. Even if I mix it into her food she will eat around it. I don't think she liked the treats very much.,positive,Negative,Palatability
710,710,B01HUX3N8K,Celeste Devoll,2.0,My animal did not like them,2021-06-26,"Since I didn't taste this,  I can not speak about the flavor...I tried to give them to my 8-10 week old kittens and one of them sniffed it and proceed to dig and try to bury it.. I don't want to waste them so I tried to give them to our 6yr.old cat who loves ""almost"" any treats would not eat it either.. my dog who eats anything will pick it up chew it and spit it out ...",negative,Negative,Palatability
714,714,B01HUX3N8K,Cynthia Snelling,2.0,"Good value, but very dry for kittens",2022-08-17,"Great deal for the price, however they are very dry (fall apart-messy), can only give 2-3 a day, my kitten eats them but leaves crumbs behind (ant’s issue), would be good if not so dry!",positive,Negative,Product Quality Issue
716,716,B01HUX3N8K,N. D.,3.0,Cats refused to eat it,2020-07-17,"Right size, soft enough. But two of my kittens and my cat refused to eat these. Waste of money for me, and I’ll end up feeding these to my dog.",positive,Negative,Palatability
720,720,B01HUX3N8K,Sya,5.0,Kitties love these!,2020-11-12,My kitten loves these but they are a bit big for him so I always have to break them in two. They also came squished the 2nd time I ordered them.,neutral,Negative,Product Quality Issue
727,727,B01HUX3N8K,JD,1.0,Kitties don’t like it,2023-07-23,My two cats would not touch these. One is a picky eater but the other will eat just about anything. I’ve seen her eat paper but she’s refused to have anything to do with these.,negative,Negative,Palatability
728,728,B01HUX3N8K,Andrea,2.0,Kitten wouldn’t go near it.,2020-11-24,"Well, it’s been a few days since I bought this and my 6 month old kitten (who has been known to bit into drywall) refuses to even touch it.I don’t know why but she will not even attempt to lick it. I’ve tried breaking it into smaller pieces, mixing it into her food and she literally prefers to not eat rather than possibly pick up whatever is making that new smell.I’m very disappointed.",negative,Negative,Palatability
736,736,B0175BN418,Angel Holmes,1.0,It was broken when it was received it. And it can’t be returned,2022-06-28,It was broken in 3 spots. And a no return policy.,negative,Negative,Purchase and Return Policy
737,737,B0175BN418,SG,3.0,Broke quickly,2020-09-12,"My dog really liked the shape of this to hold part and chew the rest. But after only a couple days one of the legs broke off, which left it not any better than a regular bone. Dog is 8 pound puppy, not a giant strong dog or anything!",positive,Negative,Product Quality Issue
747,747,B00X6THK2S,Love2read,3.0,Too big,2024-01-19,Way too big for my puppy. Should only be bought for large breed puppies.,positive,Negative,Product Quality Issue
767,767,B00X6THK2S,CT,4.0,Puppy prefers the chicken version,2023-09-14,Loves the chicken—leaves the peanut butter half eaten. Too bad because the peanut’s cheaper…,negative,Negative,Palatability
770,770,B00X6THK2S,Marcelina,3.0,Not recommended for small breeds,2023-12-04,"This product is not recommended for small breeds . It got stuck on my puppies neck ! And it was very difficult to get off , almost had to make a vet trip",negative,Negative,Safety Concerns
787,787,B00X6THK2S,Chelsey,3.0,Chocking hazard maybe?,2023-06-08,"My 11 week old puppy loves the rings and when they’re new/a complete circle I have no concerns with them. However, as she chews, the circle gets smaller until it’s a little nub and I’m worried it will become a chocking hazard for her. So we’ve been loving them until they get to a certain point, and then I feel like I’m wasting money by throwing the rest away. Maybe a different shape would be better?",positive,Negative,Safety Concerns
806,806,B00X6THK2S,Amy,3.0,Very messy,2023-04-14,"My puppy was so sticky after eating this, I had to give her a bath. Both of her front paws and entire face were a sticky mess. Won't be buying this flavor again.",negative,Negative,Health Issues
808,808,B00X6THK2S,Melissa,2.0,Made my Goldendoodle sick,2023-09-21,Just a heads up for those who may have sensitive stomachs. I bought these for my 4.5 month old pitbull puppy to help with teething. She does not like them and refuses to chew them. I am surprised after reading all the good reviews. My older doodle ended up with one and vomited after consuming it. She does have a sensitive digestive system.,positive,Negative,Health Issues
822,822,B00X6THK2S,Julia Jones,1.0,Dangerous! Breaks into sharp pointed shards,2024-02-02,These break into sharp pointed shards after puppy chews on it for a bit.  If a puppy swallows one of the pointed chunks its a guaranteed trip to the EVet for surgery.  They would not allow me to return them. I threw the whole package away.,positive,Negative,Safety Concerns
839,839,B00X6THK2S,J.A.M,5.0,Ideal for medium sized dogs/pups,2022-08-16,While we fostered puppies that would grow to be large breed but were small/medium these were great! As soon as said pups grew even above 6 months it was too easy for them to chew this in seconds!,positive,Negative,Product Quality Issue
843,843,B087BHJ9D9,Sage Wolfsong,3.0,Disappointed,2022-12-16,"Haven't given the dog his treat yet, and we were looking forward to having something that would challenge his brain.Instead, I got a chew that was broken, and equates to an overpriced bone...",negative,Negative,Value for Money
